Ref,Val,Package,PosX,PosY,Rot,Side
C1,100n / 16V,C_0603_1608Metric,85.500000,-23.300000,0.000000,top
C2,100n / 16V,C_0603_1608Metric,74.500000,-23.300000,180.000000,top
C3,22u / 10V X7R,C_0805_2012Metric,85.200000,-27.500000,-90.000000,top
C4,22u / 10V X7R,C_0805_2012Metric,87.400000,-27.500000,-90.000000,top
C5,100n / 10V,C_0603_1608Metric,88.700000,-30.000000,180.000000,top
C6,120u / 10V polymer,CP_Elec_6.3x5.9,94.000000,-17.000000,90.000000,top
C7,220u / 6.3V polymer,CP_Elec_6.3x5.9,71.800000,-17.000000,90.000000,top
C8,22u / 10V X7R,C_0805_2012Metric,74.800000,-27.500000,-90.000000,top
C9,100n / 10V,C_0603_1608Metric,71.800000,-28.700000,0.000000,top
C10,820p C0G,C_0603_1608Metric,78.300000,-37.500000,-90.000000,top
C11,4.7u / 10V,C_0805_2012Metric,85.700000,-33.200000,0.000000,top
C12,470p C0G,C_0603_1608Metric,92.800000,-34.200000,-90.000000,top
C101,4.7u X5R 20%,C_0402_1005Metric,55.200000,-43.500000,-90.000000,top
C102,4.7u X5R 20%,C_0402_1005Metric,53.000000,-43.940000,0.000000,top
C103,4.7u X5R 20%,C_0402_1005Metric,53.000000,-43.000000,0.000000,top
C104,100n,C_0402_1005Metric,46.185000,-32.830000,180.000000,top
C105,15p C0G,C_0402_1005Metric,48.625000,-60.420000,180.000000,top
C106,15p C0G,C_0402_1005Metric,51.595000,-60.420000,0.000000,top
C110,100n pin5,C_0402_1005Metric,42.000000,-47.100000,180.000000,top
C111,100n pin15,C_0402_1005Metric,42.000000,-52.200000,180.000000,top
C112,100n pin24,C_0402_1005Metric,45.300000,-56.700000,180.000000,top
C113,100n pin29,C_0402_1005Metric,48.700000,-58.300000,-90.000000,top
C114,100n pin41,C_0402_1005Metric,57.500000,-54.500000,0.000000,top
C115,100n pin50,C_0402_1005Metric,58.005000,-50.500000,0.000000,top
C116,100n pin60,C_0402_1005Metric,57.500000,-44.500000,0.000000,top
C117,100n pin76,C_0402_1005Metric,44.200000,-41.900000,180.000000,top
C118,100n pin59,C_0402_1005Metric,57.500000,-45.700000,0.000000,top
C119,100n pin68,C_0402_1005Metric,49.000000,-41.200000,90.000000,top
C120,100n pin69,C_0402_1005Metric,49.000000,-38.800000,90.000000,top
C121,100n pin10,C_0402_1005Metric,42.000000,-49.800000,180.000000,top
C122,100n pin32,C_0402_1005Metric,51.400000,-58.300000,-90.000000,top
C123,100n pin51,C_0402_1005Metric,58.000000,-49.500000,0.000000,top
C124,4.7u at pad32,C_0603_1608Metric,53.100000,-58.300000,-90.000000,top
C126,10n,C_0603_1608Metric,61.000000,-26.000000,0.000000,top
C127,100n / 16V at D101,C_0603_1608Metric,58.000000,-7.000000,90.000000,top
C128,100n / 16V at U103,C_0603_1608Metric,49.500000,-21.600000,0.000000,top
C129,100n / 16V at U104,C_0603_1608Metric,59.000000,-14.000000,0.000000,top
C130,1n C0G REF,C_0603_1608Metric,59.000000,-22.000000,0.000000,top
C201,22u / 10V X7R,C_0805_2012Metric,12.200000,-35.600000,-90.000000,top
C202,100n / 10V,C_0603_1608Metric,12.400000,-31.600000,-90.000000,top
C203,100u / 6.3V polymer,CP_Elec_5x5.9,6.700000,-36.000000,-90.000000,top
C204,1u / 10V,C_0603_1608Metric,14.500000,-35.200000,-90.000000,top
C301,22u / 10V X7R,C_0805_2012Metric,35.600000,-87.800000,0.000000,top
C302,100n / 10V,C_0603_1608Metric,31.600000,-87.600000,0.000000,top
C303,100u / 6.3V polymer,CP_Elec_5x5.9,36.000000,-93.300000,0.000000,top
C304,1u / 10V,C_0603_1608Metric,35.200000,-85.500000,0.000000,top
C401,22u / 10V X7R,C_0805_2012Metric,87.800000,-64.400000,90.000000,top
C402,100n / 10V,C_0603_1608Metric,87.600000,-68.400000,90.000000,top
C403,100u / 6.3V polymer,CP_Elec_5x5.9,93.300000,-64.000000,90.000000,top
C404,1u / 10V,C_0603_1608Metric,85.500000,-64.800000,90.000000,top
D1,PMEG2010EA,D_SOD-323,83.400000,-37.000000,180.000000,top
D101,USBLC6-2SC6,SOT-23-6,50.000000,-12.000000,-90.000000,top
F1,5A fuse,Fuse_Littelfuse-NANO2-451_453,96.400000,-34.500000,90.000000,top
J1,1S Li-ion pack,JST_VH_B2P-VH_1x02_P3.96mm_Vertical,88.000000,-40.000000,0.000000,top
J2,OFF jumper,PinHeader_1x02_P2.54mm_Vertical,97.000000,-24.000000,0.000000,top
J101,SWD / 3V3 ref only,PinHeader_1x05_P2.54mm_Vertical,63.000000,-35.000000,0.000000,top
J102,USB4105-GF-A,USB_C_GCT_USB4105_A1,50.000000,-4.000000,180.000000,top
J201,UART / 3V3 reference only,PinHeader_1x06_P2.54mm_Vertical,12.000000,-4.000000,90.000000,top
J301,UART / 3V3 reference only,PinHeader_1x06_P2.54mm_Vertical,4.000000,-88.000000,180.000000,top
J401,UART / 3V3 reference only,PinHeader_1x06_P2.54mm_Vertical,88.000000,-96.000000,-90.000000,top
L1,4.7uH,L_Coilcraft_XAL7070-XXX,80.000000,-17.000000,180.000000,top
L101,3.3uH - oriented,AOTA-B201610S3R3-101-T,53.000000,-41.350000,0.000000,top
Q1,DMP2008UFG-7,Diodes_PowerDI3333-8,92.300000,-29.700000,0.000000,top
R1,100k,R_0603_1608Metric,91.000000,-26.200000,-90.000000,top
R2,316k 1%,R_0603_1608Metric,73.600000,-32.000000,0.000000,top
R3,100k 1%,R_0603_1608Metric,75.400000,-34.400000,-90.000000,top
R4,78.7k 1%,R_0603_1608Metric,78.300000,-34.400000,-90.000000,top
R5,162k 1%,R_0603_1608Metric,85.700000,-30.300000,0.000000,top
