Link,Signal (C5 perspective),Direction,C5 GPIO,C5 module pad,RP GPIO,RP package pad,Candidate PIO,PIO GPIOBASE
A,TX_D0,C5 -> RP,GPIO0,6,0,77,0,0
A,TX_D1,C5 -> RP,GPIO1,7,1,78,0,0
A,TX_D2,C5 -> RP,GPIO13,13,2,79,0,0
A,TX_D3,C5 -> RP,GPIO14,14,3,80,0,0
A,TX_CLK,C5 -> RP,GPIO4,17,4,1,0,0
A,TX_VALID,C5 -> RP,GPIO5,16,5,2,0,0
A,RX_D0,RP -> C5,GPIO6,8,6,3,0,0
A,RX_D1,RP -> C5,GPIO8,10,7,4,0,0
A,RX_D2,RP -> C5,GPIO9,11,8,6,0,0
A,RX_D3,RP -> C5,GPIO10,12,9,7,0,0
A,RX_CLK,C5 -> RP,GPIO23,21,10,8,0,0
A,RX_VALID,RP -> C5,GPIO24,23,11,9,0,0
B,TX_D0,C5 -> RP,GPIO0,6,12,11,1,0
B,TX_D1,C5 -> RP,GPIO1,7,13,12,1,0
B,TX_D2,C5 -> RP,GPIO13,13,14,13,1,0
B,TX_D3,C5 -> RP,GPIO14,14,15,14,1,0
B,TX_CLK,C5 -> RP,GPIO4,17,16,16,1,0
B,TX_VALID,C5 -> RP,GPIO5,16,17,17,1,0
B,RX_D0,RP -> C5,GPIO6,8,18,18,1,0
B,RX_D1,RP -> C5,GPIO8,10,19,19,1,0
B,RX_D2,RP -> C5,GPIO9,11,20,20,1,0
B,RX_D3,RP -> C5,GPIO10,12,21,21,1,0
B,RX_CLK,C5 -> RP,GPIO23,21,22,22,1,0
B,RX_VALID,RP -> C5,GPIO24,23,23,23,1,0
C,TX_D0,C5 -> RP,GPIO0,6,24,25,2,16
C,TX_D1,C5 -> RP,GPIO1,7,25,26,2,16
C,TX_D2,C5 -> RP,GPIO13,13,26,27,2,16
C,TX_D3,C5 -> RP,GPIO14,14,27,28,2,16
C,TX_CLK,C5 -> RP,GPIO4,17,28,36,2,16
C,TX_VALID,C5 -> RP,GPIO5,16,29,37,2,16
C,RX_D0,RP -> C5,GPIO6,8,30,38,2,16
C,RX_D1,RP -> C5,GPIO8,10,31,39,2,16
C,RX_D2,RP -> C5,GPIO9,11,32,40,2,16
C,RX_D3,RP -> C5,GPIO10,12,33,42,2,16
C,RX_CLK,C5 -> RP,GPIO23,21,34,43,2,16
C,RX_VALID,RP -> C5,GPIO24,23,35,44,2,16
